Title,Genres,IMDb,Directors,Country,Language
Drive,Drama,7.8,['Nicolas Winding Refn'],['United States'],"['English', 'Spanish']"
Train to Busan,Action,7.5,['Sang-ho Yeon'],['South Korea'],"['Korean', 'Hawaiian']"
Train to Busan,Horror,7.5,['Sang-ho Yeon'],['South Korea'],"['Korean', 'Hawaiian']"
Train to Busan,Thriller,7.5,['Sang-ho Yeon'],['South Korea'],"['Korean', 'Hawaiian']"
Incredibles 2,Animation,7.6,['Brad Bird'],['United States'],['English']
Incredibles 2,Action,7.6,['Brad Bird'],['United States'],['English']
Incredibles 2,Adventure,7.6,['Brad Bird'],['United States'],['English']
Incredibles 2,Comedy,7.6,['Brad Bird'],['United States'],['English']
Incredibles 2,Family,7.6,['Brad Bird'],['United States'],['English']
Incredibles 2,Sci-Fi,7.6,['Brad Bird'],['United States'],['English']
Dangal,Action,8.4,['Nitesh Tiwari'],['India'],['Hindi']
Dangal,Biography,8.4,['Nitesh Tiwari'],['India'],['Hindi']
Dangal,Drama,8.4,['Nitesh Tiwari'],['India'],['Hindi']
Dangal,Sport,8.4,['Nitesh Tiwari'],['India'],['Hindi']
Klaus,Animation,8.2,"['Sergio Pablos', 'Carlos Martínez López']",['Spain'],"['English', 'Saami']"
Klaus,Adventure,8.2,"['Sergio Pablos', 'Carlos Martínez López']",['Spain'],"['English', 'Saami']"
Klaus,Comedy,8.2,"['Sergio Pablos', 'Carlos Martínez López']",['Spain'],"['English', 'Saami']"
Klaus,Family,8.2,"['Sergio Pablos', 'Carlos Martínez López']",['Spain'],"['English', 'Saami']"
Minority Report,Action,7.6,['Steven Spielberg'],['United States'],"['English', 'Swedish']"
Minority Report,Crime,7.6,['Steven Spielberg'],['United States'],"['English', 'Swedish']"
Minority Report,Mystery,7.6,['Steven Spielberg'],['United States'],"['English', 'Swedish']"
Minority Report,Sci-Fi,7.6,['Steven Spielberg'],['United States'],"['English', 'Swedish']"
Minority Report,Thriller,7.6,['Steven Spielberg'],['United States'],"['English', 'Swedish']"
Mystic River,Crime,7.9,['Clint Eastwood'],"['United States', 'Australia']",['English']
Mystic River,Drama,7.9,['Clint Eastwood'],"['United States', 'Australia']",['English']
Mystic River,Mystery,7.9,['Clint Eastwood'],"['United States', 'Australia']",['English']
Mystic River,Thriller,7.9,['Clint Eastwood'],"['United States', 'Australia']",['English']
Like Stars on Earth,Drama,8.4,"['Aamir Khan', 'Amole Gupte']",['India'],"['Hindi', 'English']"
Like Stars on Earth,Family,8.4,"['Aamir Khan', 'Amole Gupte']",['India'],"['Hindi', 'English']"
Ferris Bueller's Day Off,Comedy,7.8,['John Hughes'],['United States'],"['English', 'German']"
Despicable Me,Animation,7.6,"['Pierre Coffin', 'Chris Renaud']","['United States', 'France']",['English']
Despicable Me,Comedy,7.6,"['Pierre Coffin', 'Chris Renaud']","['United States', 'France']",['English']
Despicable Me,Family,7.6,"['Pierre Coffin', 'Chris Renaud']","['United States', 'France']",['English']
Despicable Me,Fantasy,7.6,"['Pierre Coffin', 'Chris Renaud']","['United States', 'France']",['English']
Hell or High Water,Action,7.6,['David Mackenzie'],['United States'],['English']
Hell or High Water,Crime,7.6,['David Mackenzie'],['United States'],['English']
Hell or High Water,Drama,7.6,['David Mackenzie'],['United States'],['English']
Hell or High Water,Thriller,7.6,['David Mackenzie'],['United States'],['English']
Hell or High Water,Western,7.6,['David Mackenzie'],['United States'],['English']
Sin City,Crime,8.0,"['Frank Miller', 'Robert Rodriguez', 'Quentin Tarantino']",['United States'],['English']
Sin City,Thriller,8.0,"['Frank Miller', 'Robert Rodriguez', 'Quentin Tarantino']",['United States'],['English']
Ip Man,Action,8.0,['Wilson Yip'],"['Hong Kong', 'China']","['Cantonese', 'Mandarin', 'Japanese']"
Ip Man,Adventure,8.0,['Wilson Yip'],"['Hong Kong', 'China']","['Cantonese', 'Mandarin', 'Japanese']"
Ip Man,Biography,8.0,['Wilson Yip'],"['Hong Kong', 'China']","['Cantonese', 'Mandarin', 'Japanese']"
Ip Man,Drama,8.0,['Wilson Yip'],"['Hong Kong', 'China']","['Cantonese', 'Mandarin', 'Japanese']"
Ip Man,History,8.0,['Wilson Yip'],"['Hong Kong', 'China']","['Cantonese', 'Mandarin', 'Japanese']"
Indiana Jones and the Temple of Doom,Action,7.6,['Steven Spielberg'],['United States'],"['English', 'Sinhalese', 'Hindi']"
Indiana Jones and the Temple of Doom,Adventure,7.6,['Steven Spielberg'],['United States'],"['English', 'Sinhalese', 'Hindi']"
The Theory of Everything,Biography,7.7,['James Marsh'],"['United Kingdom', 'Japan', 'United States']","['English', 'French']"
The Theory of Everything,Drama,7.7,['James Marsh'],"['United Kingdom', 'Japan', 'United States']","['English', 'French']"
The Theory of Everything,Romance,7.7,['James Marsh'],"['United Kingdom', 'Japan', 'United States']","['English', 'French']"
The Pursuit of Happyness,Biography,8.0,['Gabriele Muccino'],['United States'],"['English', 'Cantonese']"
The Pursuit of Happyness,Drama,8.0,['Gabriele Muccino'],['United States'],"['English', 'Cantonese']"
Senna,Documentary,8.5,['Asif Kapadia'],"['United Kingdom', 'France', 'United States']","['English', 'Portuguese', 'French', 'Japanese']"
Senna,Biography,8.5,['Asif Kapadia'],"['United Kingdom', 'France', 'United States']","['English', 'Portuguese', 'French', 'Japanese']"
Senna,Sport,8.5,['Asif Kapadia'],"['United Kingdom', 'France', 'United States']","['English', 'Portuguese', 'French', 'Japanese']"
Scott Pilgrim vs. the World,Action,7.5,['Edgar Wright'],"['United States', 'United Kingdom', 'Canada', 'Japan']",['English']
Scott Pilgrim vs. the World,Comedy,7.5,['Edgar Wright'],"['United States', 'United Kingdom', 'Canada', 'Japan']",['English']
Scott Pilgrim vs. the World,Fantasy,7.5,['Edgar Wright'],"['United States', 'United Kingdom', 'Canada', 'Japan']",['English']
Scott Pilgrim vs. the World,Romance,7.5,['Edgar Wright'],"['United States', 'United Kingdom', 'Canada', 'Japan']",['English']
Magnolia,Drama,8.0,['Paul Thomas Anderson'],['United States'],"['English', 'German', 'French']"
The Hateful Eight,Crime,7.8,['Quentin Tarantino'],['United States'],"['English', 'Spanish', 'French']"
The Hateful Eight,Drama,7.8,['Quentin Tarantino'],['United States'],"['English', 'Spanish', 'French']"
The Hateful Eight,Mystery,7.8,['Quentin Tarantino'],['United States'],"['English', 'Spanish', 'French']"
The Hateful Eight,Thriller,7.8,['Quentin Tarantino'],['United States'],"['English', 'Spanish', 'French']"
The Hateful Eight,Western,7.8,['Quentin Tarantino'],['United States'],"['English', 'Spanish', 'French']"
The Artist,Comedy,7.9,['Michel Hazanavicius'],"['France', 'Belgium', 'United States']","['English', 'French']"
The Artist,Drama,7.9,['Michel Hazanavicius'],"['France', 'Belgium', 'United States']","['English', 'French']"
The Artist,Romance,7.9,['Michel Hazanavicius'],"['France', 'Belgium', 'United States']","['English', 'French']"
Moonlight,Drama,7.4,['Barry Jenkins'],['United States'],['English']
Back to the Future Part II,Adventure,7.8,['Robert Zemeckis'],['United States'],['English']
Back to the Future Part II,Comedy,7.8,['Robert Zemeckis'],['United States'],['English']
Back to the Future Part II,Sci-Fi,7.8,['Robert Zemeckis'],['United States'],['English']
Willy Wonka & the Chocolate Factory,Family,7.8,['Mel Stuart'],"['United States', 'East Germany', 'West Germany', 'Belgium']","['English', 'French', 'German', 'Italian']"
Willy Wonka & the Chocolate Factory,Fantasy,7.8,['Mel Stuart'],"['United States', 'East Germany', 'West Germany', 'Belgium']","['English', 'French', 'German', 'Italian']"
Willy Wonka & the Chocolate Factory,Musical,7.8,['Mel Stuart'],"['United States', 'East Germany', 'West Germany', 'Belgium']","['English', 'French', 'German', 'Italian']"
What's Eating Gilbert Grape,Drama,7.8,['Lasse Hallström'],['United States'],['English']
The Curious Case of Benjamin Button,Drama,7.8,['David Fincher'],['United States'],"['English', 'Russian', 'French']"
The Curious Case of Benjamin Button,Fantasy,7.8,['David Fincher'],['United States'],"['English', 'Russian', 'French']"
The Curious Case of Benjamin Button,Romance,7.8,['David Fincher'],['United States'],"['English', 'Russian', 'French']"
A Silent Voice,Animation,8.2,['Naoko Yamada'],['Japan'],"['Japanese', 'Japanese Sign Language']"
A Silent Voice,Drama,8.2,['Naoko Yamada'],['Japan'],"['Japanese', 'Japanese Sign Language']"
A Silent Voice,Family,8.2,['Naoko Yamada'],['Japan'],"['Japanese', 'Japanese Sign Language']"
A Silent Voice,Romance,8.2,['Naoko Yamada'],['Japan'],"['Japanese', 'Japanese Sign Language']"
Snowpiercer,Action,7.1,['unknown'],['United States'],['English']
Snowpiercer,Drama,7.1,['unknown'],['United States'],['English']
Snowpiercer,Sci-Fi,7.1,['unknown'],['United States'],['English']
Snowpiercer,Thriller,7.1,['unknown'],['United States'],['English']
Hugo,Drama,7.5,['Martin Scorsese'],"['United Kingdom', 'United States', 'France']",['English']
Hugo,Family,7.5,['Martin Scorsese'],"['United Kingdom', 'United States', 'France']",['English']
Hugo,Fantasy,7.5,['Martin Scorsese'],"['United Kingdom', 'United States', 'France']",['English']
Hugo,Mystery,7.5,['Martin Scorsese'],"['United Kingdom', 'United States', 'France']",['English']
Ant-Man and the Wasp,Action,7.1,['Peyton Reed'],['United States'],"['English', 'Spanish']"
Ant-Man and the Wasp,Adventure,7.1,['Peyton Reed'],['United States'],"['English', 'Spanish']"
Ant-Man and the Wasp,Comedy,7.1,['Peyton Reed'],['United States'],"['English', 'Spanish']"
Ant-Man and the Wasp,Sci-Fi,7.1,['Peyton Reed'],['United States'],"['English', 'Spanish']"
As Good as It Gets,Comedy,7.7,['James L. Brooks'],['United States'],['English']
As Good as It Gets,Drama,7.7,['James L. Brooks'],['United States'],['English']
As Good as It Gets,Romance,7.7,['James L. Brooks'],['United States'],['English']
Back to the Future Part III,Adventure,7.4,['Robert Zemeckis'],['United States'],['English']
Back to the Future Part III,Comedy,7.4,['Robert Zemeckis'],['United States'],['English']
Back to the Future Part III,Sci-Fi,7.4,['Robert Zemeckis'],['United States'],['English']
Back to the Future Part III,Western,7.4,['Robert Zemeckis'],['United States'],['English']
Searching for Sugar Man,Documentary,8.2,['Malik Bendjelloul'],"['Sweden', 'United Kingdom', 'Finland']",['English']
Searching for Sugar Man,Biography,8.2,['Malik Bendjelloul'],"['Sweden', 'United Kingdom', 'Finland']",['English']
Searching for Sugar Man,Music,8.2,['Malik Bendjelloul'],"['Sweden', 'United Kingdom', 'Finland']",['English']
Road to Perdition,Crime,7.7,['Sam Mendes'],['United States'],['English']
Road to Perdition,Drama,7.7,['Sam Mendes'],['United States'],['English']
Road to Perdition,Thriller,7.7,['Sam Mendes'],['United States'],['English']
To All the Boys I've Loved Before,Comedy,7.2,['Susan Johnson'],['United States'],['English']
To All the Boys I've Loved Before,Drama,7.2,['Susan Johnson'],['United States'],['English']
To All the Boys I've Loved Before,Romance,7.2,['Susan Johnson'],['United States'],['English']
Molly's Game,Biography,7.4,['Aaron Sorkin'],"['China', 'Canada', 'United States']",['English']
Molly's Game,Crime,7.4,['Aaron Sorkin'],"['China', 'Canada', 'United States']",['English']
Molly's Game,Drama,7.4,['Aaron Sorkin'],"['China', 'Canada', 'United States']",['English']
Blackfish,Documentary,8.1,['Gabriela Cowperthwaite'],['United States'],"['English', 'Spanish']"
Blackfish,News,8.1,['Gabriela Cowperthwaite'],['United States'],"['English', 'Spanish']"
El Camino: A Breaking Bad Movie,Action,7.4,['Vince Gilligan'],['United States'],['English']
El Camino: A Breaking Bad Movie,Crime,7.4,['Vince Gilligan'],['United States'],['English']
El Camino: A Breaking Bad Movie,Drama,7.4,['Vince Gilligan'],['United States'],['English']
The Invisible Guest,Crime,8.1,['Oriol Paulo'],['Spain'],['Spanish']
The Invisible Guest,Mystery,8.1,['Oriol Paulo'],['Spain'],['Spanish']
The Invisible Guest,Thriller,8.1,['Oriol Paulo'],['Spain'],['Spanish']
Song of the Sea,Animation,8.1,['Tomm Moore'],"['Ireland', 'Denmark', 'Belgium', 'Luxembourg', 'France']","['English', 'Irish']"
Song of the Sea,Adventure,8.1,['Tomm Moore'],"['Ireland', 'Denmark', 'Belgium', 'Luxembourg', 'France']","['English', 'Irish']"
Song of the Sea,Drama,8.1,['Tomm Moore'],"['Ireland', 'Denmark', 'Belgium', 'Luxembourg', 'France']","['English', 'Irish']"
Song of the Sea,Family,8.1,['Tomm Moore'],"['Ireland', 'Denmark', 'Belgium', 'Luxembourg', 'France']","['English', 'Irish']"
Song of the Sea,Fantasy,8.1,['Tomm Moore'],"['Ireland', 'Denmark', 'Belgium', 'Luxembourg', 'France']","['English', 'Irish']"
