Title,Country,IMDb
The Lobster,Netherlands,7.2
The Lobster,United States,7.2
Blue Valentine,United States,7.4
Zindagi Na Milegi Dobara,India,8.1
Green Room,United States,7.0
Kung Fu Panda 2,United States,7.2
The Ballad of Buster Scruggs,United States,7.3
Cloverfield,United States,7.0
Burning,South Korea,7.5
Burning,Japan,7.5
The Adventures of Tintin,United States,7.3
The Adventures of Tintin,New Zealand,7.3
The Adventures of Tintin,United Kingdom,7.3
Bolt,United States,6.8
Neon Genesis Evangelion: The End of Evangelion,Japan,8.1
Chasing Amy,United States,7.2
The Princess and the Frog,United States,7.1
Bad Genius,Thailand,7.6
The Wicker Man,United Kingdom,7.5
A Single Man,United States,7.6
Blow,United States,7.6
Blow,Mexico,7.6
The Squid and the Whale,United States,7.3
My Life as a Zucchini,Switzerland,7.8
My Life as a Zucchini,France,7.8
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Canada,7.7
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",United States,7.7
Barfi!,India,8.1
Frances Ha,United States,7.5
Tootsie,United States,7.4
Solo: A Star Wars Story,United States,6.9
Steve Jobs,United Kingdom,7.2
Steve Jobs,United States,7.2
Tremors,United States,7.1
The Croods,United States,7.2
Locke,United Kingdom,7.1
Locke,United States,7.1
Bill Burr: I'm Sorry You Feel That Way,United States,8.4
Starred Up,United Kingdom,7.4
Mudbound,United States,7.4
Austin Powers: International Man of Mystery,United States,7.0
Blue Ruin,United States,7.1
Blue Ruin,France,7.1
The Patriot,United States,7.2
The Patriot,Germany,7.2
Babel,France,7.4
Babel,United States,7.4
Babel,Mexico,7.4
Babel,Morocco,7.4
The Square,Sweden,8.1
The Square,Germany,8.1
The Square,France,8.1
The Square,Denmark,8.1
The Square,United States,8.1
Gerald's Game,United States,6.6
Miracle,Canada,7.5
Miracle,United States,7.5
Swades,India,8.2
Tinker Tailor Soldier Spy,France,7.1
Tinker Tailor Soldier Spy,United Kingdom,7.1
Tinker Tailor Soldier Spy,Germany,7.1
The Witch,Canada,6.9
The Witch,United States,6.9
Haider,India,8.1
Padman,India,7.9
Hush,United States,6.6
Elizabeth,United Kingdom,7.4
Miss Americana,United States,7.4
Christopher Robin,United Kingdom,7.3
Christopher Robin,United States,7.3
I Lost My Body,France,7.6
I Am Mother,Australia,6.7
Lupin the Third: The Castle of Cagliostro,Japan,7.7
The Autopsy of Jane Doe,United Kingdom,6.8
Virunga,United Kingdom,8.2
Virunga,Congo,8.2
Freedom Writers,Germany,7.5
Freedom Writers,United States,7.5
The Master,United States,7.2
A Serious Man,United States,7.0
A Serious Man,United Kingdom,7.0
A Serious Man,France,7.0
The King,United Kingdom,7.2
The King,Hungary,7.2
The King,United States,7.2
The King,Australia,7.2
The Breadwinner,Ireland,7.7
The Breadwinner,Canada,7.7
The Breadwinner,Luxembourg,7.7
The Breadwinner,United States,7.7
The Breadwinner,United Kingdom,7.7
The Breadwinner,Philippines,7.7
The Breadwinner,India,7.7
The Boy Who Harnessed the Wind,United Kingdom,7.6
The Boy Who Harnessed the Wind,Malawi,7.6
Article 15,India,8.3
The Killing of a Sacred Deer,Ireland,7.0
The Killing of a Sacred Deer,United Kingdom,7.0
Lawless,United States,7.3
Kabhi Khushi Kabhie Gham,India,7.4
Charlie and the Chocolate Factory,United Kingdom,6.6
Charlie and the Chocolate Factory,United States,6.6
Freaks,Canada,6.7
Freaks,United States,6.7
Hannah Gadsby: Nanette,Australia,8.2
The Mask of Zorro,United States,6.7
The Mask of Zorro,Germany,6.7
The Mask of Zorro,Mexico,6.7
The Natural,United States,7.5
Equilibrium,United States,7.4
Arthur Christmas,United Kingdom,7.1
Arthur Christmas,United States,7.1
The Rainmaker,United States,7.2
The Rainmaker,Germany,7.2
Winter on Fire: Ukraine's Fight for Freedom,United Kingdom,8.4
Winter on Fire: Ukraine's Fight for Freedom,Ukraine,8.4
Winter on Fire: Ukraine's Fight for Freedom,United States,8.4
Always Be My Maybe,United States,6.8
The Crying Game,United Kingdom,7.2
The Crying Game,Japan,7.2
War Horse,United States,7.2
War Horse,India,7.2
Shot Caller,United States,7.3
The Invitation,United States,6.6
A Most Violent Year,United States,7.0
A Most Violent Year,United Arab Emirates,7.0
The Other Guys,United States,6.6
Kapoor & Sons,India,7.7
On Body and Soul,Hungary,7.6
The Fundamentals of Caring,United States,7.3
Insidious,United States,6.8
Insidious,Canada,6.8
Insidious,United Kingdom,6.8
Bill Burr: Paper Tiger,United States,8.2
Bill Burr: Paper Tiger,United Kingdom,8.2
Bad Boys,United States,6.9
The Foreigner,United Kingdom,7.0
The Foreigner,China,7.0
The Foreigner,United States,7.0
The Danish Girl,United Kingdom,7.1
The Danish Girl,United States,7.1
The Danish Girl,Germany,7.1
The Danish Girl,Denmark,7.1
The Danish Girl,Belgium,7.1
The Danish Girl,Japan,7.1
The Girl with All the Gifts,United Kingdom,6.6
Bird Box,United States,6.6
The Ring,United States,7.1
Hostiles,United States,7.2
Sairat,India,8.3
Trumbo,United States,7.5
LA 92,United States,8.2
20th Century Women,United States,7.3
Kal Ho Naa Ho,India,8.0
Swiss Army Man,United States,7.0
Swiss Army Man,Sweden,7.0
In This Corner of the World,Japan,7.8
A Ghost Story,United States,6.9
United 93,United States,7.5
United 93,United Kingdom,7.5
United 93,France,7.5
Patriot Games,United States,6.9
The Secret Life of Pets 2,United States,6.5
The Secret Life of Pets 2,France,6.5
The Secret Life of Pets 2,Japan,6.5
Hitch,United States,6.6
The Young Offenders,United Kingdom,7.1
The Young Offenders,Ireland,7.1
Enemy,Canada,6.9
Enemy,Spain,6.9
Enemy,France,6.9
