Title,Directors,IMDb
Primal,Nick Powell,4.9
Dark Shadows: The Haunting of Collinwood,unknown,8.0
Nobody's Fool,Tyler Perry,4.8
Bare,Natalia Leite,5.3
Once Upon a Time in Venice,Mark Cullen,5.3
Passage to Mars,Jean-Christophe Jeauffre,4.5
Mapplethorpe,Ondi Timoner,6.1
Gintama,unknown,6.2
Dr. Feelgood,unknown,6.6
The Burden,Niki Lindroth von Bahr,7.0
The Tomorrow Man,Noble Jones,5.7
Pokémon the Movie: Volcanion and the Mechanical Marvel,Kunihiko Yuyama,6.0
Half Magic,Heather Graham,4.6
Frank Serpico,Antonino D'Ambrosio,6.7
Bangkok Dangerous,Danny Pang,5.4
Bangkok Dangerous,Oxide Chun Pang,5.4
XX/XY,Austin Chick,5.9
Girl Most Likely,Shari Springer Berman,5.8
Girl Most Likely,Robert Pulcini,5.8
ma ma,Julio Medem,6.4
Havana Motor Club,Bent-Jorgen Perlmutt,7.3
Knives and Skin,Jennifer Reeder,5.0
Body at Brighton Rock,Roxanne Benjamin,5.3
The Strange Ones,Christopher Radcliff,5.0
The Strange Ones,Lauren Wolkstein,5.0
Legends of Oz: Dorothy's Return,Will Finn,5.1
Legends of Oz: Dorothy's Return,Daniel St. Pierre,5.1
Naz & Maalik,Jay Dockendorf,5.8
The Snow Queen 3: Fire and Ice,Aleksey Tsitsilin,6.2
Black Rock,Katie Aselton,4.7
Loro 1,Paolo Sorrentino,6.7
Banking on Bitcoin,Christopher Cannucciari,6.6
The Cokeville Miracle,T.C. Christensen,5.2
Trevor Noah: You Laugh But It's True,unknown,7.2
The Ramen Girl,Robert Allan Ackerman,6.3
Saint,Dick Maas,5.5
The Boost,Harold Becker,6.1
A Cinderella Christmas,Tosca Musk,6.3
Manglehorn,David Gordon Green,5.6
Matriarch,Scott Vickers,5.4
Neat: The Story of Bourbon,David Altrogge,7.4
Sheep & Wolves,Andrey Galat,5.8
Sheep & Wolves,Maksim Volkov,5.8
The Prince,unknown,4.6
The Mountain,Rick Alverson,5.5
Dr. T & the Women,Robert Altman,4.6
Assassination Tango,Robert Duvall,5.8
The Pagan King,Aigars Grauba,6.2
Sneakerheadz,David T. Friendly,6.4
Sneakerheadz,Mick Partridge,6.4
Casa de los Babys,John Sayles,6.3
Trespassers,Orson Oblowitz,5.0
Tracktown,Alexi Pappas,5.5
Tracktown,Jeremy Teicher,5.5
Serena,Susanne Bier,5.4
Barbie in A Mermaid Tale 2,William Lau,6.0
Four Lovers,Antony Cordier,5.6
Barbie in 'A Christmas Carol',William Lau,6.3
Stung,Benni Diez,5.1
Blind,Eskil Vogt,5.8
Food Choices,Michal Siewierski,7.3
Dismissed,Benjamin Arfmann,5.7
Trick,Patrick Lussier,5.0
The Confessions,Roberto Andò,6.1
Wakko's Wish,Liz Holzman,7.2
Wakko's Wish,Rusty Mills,7.2
Wakko's Wish,Tom Ruegger,7.2
Wakko's Wish,Russell Calabrese,7.2
Wakko's Wish,Nelson Recinos,7.2
Wakko's Wish,Greg Reyna,7.2
Wakko's Wish,Kirk Tingblad,7.2
Wakko's Wish,Charles Visser,7.2
K: Missing Kings,Shingo Suzuki,7.1
Sprung,Rusty Cundieff,5.0
Most Likely to Murder,Dan Gregor,5.1
Liz in September,Fina Torres,5.9
Astral,Chris Mul,5.5
Barbie: The Pearl Princess,Ezekiel Norton,6.2
Raze,Josh C. Waller,5.2
A Teacher,Hannah Fidell,4.7
Hannie Caulder,Burt Kennedy,6.3
Daylight's End,William Kaufman,5.4
Passport to Paris,Alan Metter,5.3
Coffin Rock,Rupert Glasson,5.3
The Thousand Faces of Dunjia,Woo-Ping Yuen,5.4
Damascus Cover,Daniel Zelik Berk,5.1
Wrinkles the Clown,Michael Beach Nichols,4.8
Gator,Burt Reynolds,5.9
Get Big,Dylan Anthony Moran,6.3
The Dinner,Jay Roach,4.5
Into the Ashes,Aaron Harvey,5.6
A Madea Family Funeral,Tyler Perry,4.4
Barbie & Her Sisters in the Great Puppy Adventure,Andrew Tan,6.3
Barbie & Her Sisters in the Great Puppy Adventure,Michael Goguen,6.3
Swindle,Jonathan Judge,6.3
Lemon,Janicza Bravo,4.6
Breakup at a Wedding,Victor Quinaz,5.1
Radioflash,Ben McPherson,5.9
Action Point,Tim Kirkby,5.1
Strategic Air Command,Anthony Mann,6.4
The Treasure,Sharif Arafah,6.7
Tyrel,Sebastián Silva,5.2
Some Kind of Hero,Michael Pressman,5.8
The Houses October Built 2,Bobby Roe,5.4
Repentance,Philippe Caland,4.9
We Die Young,Lior Geller,5.3
Middle of Nowhere,John Stockwell,6.5
The Layover,William H. Macy,4.7
Ismael's Ghosts,Arnaud Desplechin,5.6
The Challenge,unknown,6.2
Ride,Jeremy Ungar,4.7
Billboard Dad,Alan Metter,5.3
American Gun,Aric Avelino,6.1
Devil's Gate,Clay Staub,5.1
Contracted: Phase II,Josh Forbes,5.1
Silent Tongue,Sam Shepard,5.3
Along Came the Devil,Jason DeVan,3.9
Status Update,Scott Speer,5.7
Noma: My Perfect Storm,Pierre Deschamps,6.2
Furry Vengeance,Roger Kumble,3.8
Coastlines,Victor Nunez,5.8
Wounds,Babak Anvari,4.0
Crawlers,Gisyerg Bermudez,5.4
Missing 411,Michael DeGrazier,6.4
Missing 411,Benjamin Paulides,6.4
Affairs of State,Eric Bross,4.5
A Score to Settle,Shawn Ku,4.6
Almost Human,unknown,4.6
Making Plans for Lena,Christophe Honoré,6.1
The Sweet Life,Federico Fellini,6.2
White Night Wedding,Baltasar Kormákur,6.7
It Came from the Desert,Marko Mäkilaakso,4.2
Ballet Now,Steven Cantor,6.9
The Midnight Man,Marcus Dunstan,4.8
The Taste of Money,Sang-soo Im,5.7
Getaway,Sam Peckinpah,4.4
Mass Effect: Paragon Lost,Atsushi Takeuchi,5.9
Trapped: The Alex Cooper Story,Jeffrey G. Hunt,6.0
All Around Us,Tristan David Luciotti,7.6
Barbie Presents: Thumbelina,Conrad Helten,5.7
Madonna and the Breakfast Club,Guy Guido,6.6
The Sound of Silence,Michael Tyburski,5.5
Don't Go,David Gleeson,5.2
Ozzy,Alberto Rodríguez,5.2
Ozzy,Nacho La Casa,5.2
Tell Them Anything You Want: A Portrait of Maurice Sendak,Lance Bangs,8.0
Tell Them Anything You Want: A Portrait of Maurice Sendak,Spike Jonze,8.0
Breaking the Girls,Jamie Babbit,5.1
"Literally, Right Before Aaron",Ryan Eggold,4.5
Inside,Andrés Baiz,4.8
Pokémon the Movie: Diancie and the Cocoon of Destruction,Kunihiko Yuyama,5.6
The Simone Biles Story: Courage to Soar,Vanessa Parise,6.6
Pokémon the Movie: Hoopa and the Clash of Ages,Kunihiko Yuyama,6.0
Curious George 2: Follow That Monkey!,Norton Virgien,5.6
I'll Come Running,Spencer Parsons,6.8
Ron White: A Little Unprofessional,Tom Forrest,7.4
Out of the Dark,Lluís Quílez,4.8
The Sender,Roger Christian,6.0
Santa Hunters,Savage Steve Holland,4.5
Beers of Joy,David Swift,8.1
Beers of Joy,Scott Owen,8.1
Beers of Joy,David Swift,8.1
Every Other Holiday,Blair Hayes,7.1
The Swan Princess: The Mystery of the Enchanted Kingdom,Richard Rich,5.7
Blurt!,Michelle Johnston,5.9
Eyes of an Angel,Robert Harmon,5.4
Good Time Max,James Franco,6.1
Switching Goals,Mike Jeavons,5.1
F*&% the Prom,Benny Fine,4.2
Higher Power,Matthew Charles Santoro,5.0
Curious George: A Very Monkey Christmas,Scott Heming,6.4
Curious George: A Very Monkey Christmas,Cathy Malkasian,6.4
Curious George: A Very Monkey Christmas,Jeff McGrath,6.4
Monogamy,unknown,5.0
Barbie: A Perfect Christmas,Mark Baldo,5.7
Bernie the Dolphin,Kirk Harris,5.0
The Château,Jesse Peretz,5.2
The Other Man,Richard Eyre,5.4
Above and Beyond: NASA's Journey to Tomorrow,Rory Kennedy,7.9
35 and Ticking,Russ Parr,5.6
Naughty & Nice,Sam Irvin,6.0
Victoria Gotti: My Father's Daughter,Catherine Cyran,5.4
Respectable: The Mary Millington Story,Simon Sheridan,6.9
Death Bell,Hong-Seung Yoon,5.7
We Are Columbine,Laura Farber,6.8
The Appeared,Paco Cabezas,6.1
Dragon Age: Dawn of the Seeker,Fumihiko Sori,5.8
Addicted to Sexting,Joseph Tosconi,3.8
RoboGeisha,Noboru Iguchi,5.3
Big Voice,Varda Bar-Kar,8.0
Nina,John Badham,5.4
Josie,Eric England,5.2
The Con Is On,James Oakley,4.2
Feral,Mark Young,4.6
Second Chance Christmas,Danny Buday,5.8
Eve's Christmas,Timothy Bond,6.0
A Guide to Second Date Sex,Rachel Hirons,5.3
No Holds Barred,Thomas J. Wright,4.4
My Valentine,Pornchai Hongrattanaporn,4.4
My Valentine,Songsak Mongkolthong,4.4
My Valentine,Seree Phongnithi,4.4
Killers Anonymous,Martin Owen,5.3
Lewis Black: Old Yeller - Live at the Borgata,Zach Nial,7.4
The Reunion,Michael Rosenbaum,5.2
The Intended,Kristian Levring,5.8
Roller Dreams,Kate Hickey,7.9
Midnight Kiss,Joel Bender,4.7
Allure,Carlos Sanchez,4.9
Allure,Jason Sanchez,4.9
Concrete Kids,Lije Sarki,6.4
Into the Dark: I'm Just F*cking With You,Adam Mason,5.5
Gilbert Gottfried: Dirty Jokes,Adam Reid,7.2
Catching Faith,John K.D. Graham,4.8
Penumbra,Adrián García Bogliano,5.5
Penumbra,Ramiro García Bogliano,5.5
Kill Order,James Mark,4.1
Paper Covers Rock,Joe Maggio,6.6
Racetime,Benoît Godbout,5.5
Racetime,Jean-François Pouliot,5.5
Racetime,François Brisson,5.5
Margaret Atwood: A Word After a Word After a Word Is Power,Nancy Lang,7.5
Margaret Atwood: A Word After a Word After a Word Is Power,Peter Raymont,7.5
The Disappointments Room,D.J. Caruso,3.9
Brad Paisley Thinks He's Special,unknown,8.5
Daphne & Velma,Suzi Yoonessi,4.2
Albert,Karsten Kiilerich,6.4
The Eternal,Michael Almereyda,4.4
Faintheart,Vito Rocco,6.3
Slumber,Jonathan Hopkins,4.7
Telescope,unknown,7.8
Tetsuo: The Bullet Man,Shin'ya Tsukamoto,5.6
Cover Versions,Todd Berger,5.4
Warpath,Byron Haskin,6.3
"Good Morning, Killer",Maggie Greenwald,5.1
Rosy,Jess Bond,4.7
Another Time,Thomas Hennessy,4.5
Beyond Paradise,J.J. Alani,5.7
Alive,Frank Marshall,5.902751
Hide,John Gray,5.2
Diary of a Hitman,Roy London,5.3
Hellions,Bruce McDonald,4.2
Funke,Gab Taraboulsy,7.8
Backtrace,Brian A. Miller,3.7
Where Do We Go from Here?,John McPhail,6.5
Narcopolis,Justin Trefgarne,4.4
Angels in the Snow,George Erschbamer,5.7
Crooked Hearts,Michael Bortman,6.0
Sex Guaranteed,Brad Barnes,4.8
Sex Guaranteed,Todd Barnes,4.8
Deck the Halls,John Whitesell,5.1
Ghost Team,Oliver Irving,4.6
Crazy About Tiffany's,Matthew Miele,5.7
Curious George: Royal Monkey,Doug Murphy,5.8
A Fairytale Christmas,Alex Wright,5.3
Inside Out,Pete Docter,4.5
Inside Out,Ronnie Del Carmen,4.5
Person to Person,Dustin Guy Defa,7.0
Savage Youth,Michael Curtis Johnson,5.2
Girlfriends of Christmas Past,Jake Helgren,5.3
My Santa,Sugeeth,5.5
Robo-Dog: Airborne,Anthony Steven Giordano,4.8
More Barney songs,Alexander Laughton,5.8
More Barney songs,Fred Holmes,5.8
Let's Be Evil,Martin Owen,4.2
Dark Shadows: The Vampire Curse,unknown,7.5
Rain,unknown,5.7
Urban Country,Teddy Smith,4.8
The Swan Princess: A Royal Family Tale,Richard Rich,4.6
Monkey Business: The Adventures of Curious George's Creators,Ema Ryan Yamazaki,8.2
I Am Alone,Robert A. Palmer,4.5
Julian Schnabel: A Private Portrait,Pappi Corsicato,6.6
Brown Girl Begins,Sharon Lewis,3.6
Nothing Is Truer than Truth,Cheryl Eagan-Donovan,7.4
Songbird,Jamie Adams,4.1
Robo-Dog,Jason Murphy,4.4
Unbanned: The Legend of AJ1,Dexton Deboree,7.0
A Man Alone,Robert Siodmak,6.4
D.L. Hughley: Reset,Jay Karas,6.7
Hornet's Nest,Millicent Shelton,4.7
All About E,Louise Wadley,4.8
The Dark Side of The Sun,Bozidar 'Bota' Nikolic,7.7
This One's for the Ladies,Gene Graham,4.8
Bad Roomies,Jason Schnell,5.1
Random Tropical Paradise,Sanjeev Sirpal,4.4
Delivered,Michael Madison,5.7
Last Flight,Vincent Zhou,3.0
The Remains,Thomas Della Bella,3.7
Beneath the Darkness,Barbara Peeters,4.5
Beneath the Darkness,Jimmy T. Murakami,4.5
The Box,Richard Kelly,5.7
In the Radiant City,Rachel Lambert,5.5
Against the Wild II: Survive the Serengeti,Richard Boddington,4.6
Bigfoot Girl,Jason Mills,2.8
The Eagle and the Hawk,Stuart Walker,6.0
A Mermaid's Tale,Dustin Rikert,4.8
Beyond the Comfort Zone - 13 Countries to K2,Nils Krebs,6.2
Kill Thy Neighbor,Ben Meyerson,4.5
Back to Christmas,Tim O'Donnell,5.7
PawParazzi,Ari Novak,4.1
A Cam Life,unknown,4.9
Broken Star,Dave Schwep,4.3
Knights of the Damned,Simon Wells,2.5
Monsters at Large,Jason Murphy,5.3
9/11: 15 years later,unknown,0.0
Cannabis Evolution,Philip Gardiner,7.3
Sharp Edges,Sandra Luckow,6.9
Ricochet,Russell Mulcahy,4.6
The Quest of Alain Ducasse,Gilles de Maistre,5.7
Benjamin,Simon Amstell,3.3
A Fairly Odd Christmas,Savage Steve Holland,4.6
EuroTrump,Nick Hampson,6.8
EuroTrump,Stephen Robert Morse,6.8
Holly's Holiday,Jim Fall,5.5
"A Fairly Odd Movie: Grow Up, Timmy Turner!",Savage Steve Holland,4.0
Fan Girl,Paul Jarrett,4.7
The Man Who Used to Be Me,Jeff Woolnough,4.9
So This Is Christmas,Richard Foster,4.2
Santee,Gary Nelson,5.8
His and Her Christmas,Farhad Mann,5.4
Air Strike,Xiao Feng,3.2
The School,Storm Ashwood,3.8
No Way Out,Roger Donaldson,4.5
Cherry Pop,Assaad Yacoub,4.4
Treasure Hounds,Tim Brown,3.8
Amy Winehouse - A Last Goodbye,unknown,6.3
I Love You Both,Doug Archibald,4.2
24 Hour Love,Fred Thomas Jr.,3.8
Pony Express,unknown,5.9
Bob The Builder: Can We Fix It?,unknown,5.902751
After Darkness,Batan Silva,3.6
Hunting JonBenet's Killer: The Untold Story,unknown,6.1
Barney's Night Before Christmas,Ben Vaughn,5.1
The Unauthorized Saved by the Bell Story,Jason Lapeyre,4.6
10.0 Earthquake,David Gidali,3.4
Rodeo and Juliet,Will Mathison,4.6
The Age of Reason,Yann Samuell,6.2
Hot Guys with Guns,Doug Spearman,5.6
Richard The Lionheart,Stefano Milla,2.3
Crimes of Fashion,Stuart Gillard,4.8
A.R.C.H.I.E. 2: Mission Impawsible,Robin Dunne,5.0
The Armstrong Tapes,Liz Reph,6.8
The Overbrook Brothers,John E. Bryant,6.4
"Michael Jackson: Life, Death and Legacy",Maureen Goldthorpe,6.1
Playin' for Love,Robert Townsend,6.1
Playin' for Love,Elijah Nathaniel Wells,6.1
Thomas & Friends: Songs from the Station,unknown,5.902751
Step Dogs,Geoff Anderson,4.5
Danny Roane: First Time Director,Andy Dick,4.5
Against the Clock,Mark Polish,2.6
Night of the Living Dead 3D,Jeff Broadstreet,3.1
The Row,Matty Beckerman,3.3
Law of the Lawless,unknown,6.1
The Tall Stranger,Thomas Carr,6.3
Pegasus: Pony With a Broken Wing,Giorgio Serafini,3.9
Billy the Kid,Sam Peckinpah,2.2
LeapFrog Letter Factory Adventures: Amazing Word Explorers,Craig George,5.902751
Where We Go from Here,Anthony Meindl,4.4
My Dad Is Scrooge,Justin G. Dyck,4.4
LeapFrog: Adventures in Shapeville Park,Ron Myrick,6.2
12 Dog Days Till Christmas,Charlie Vaughn,4.8
The Lonely Man,Henry Levin,6.5
Cartels,Keoni Waxman,3.9
Asmodexia,Marc Carreté,4.6
The Push,Michael Finuoli,6.6
The Swan Princess Christmas,Richard Rich,3.7
The Coolest Guy Movie Ever: The Return to the Scene of The Great Escape,Christophe Espenan,5.2
LeapFrog: The Magnificent Museum of Opposite Words,unknown,7.0
Dust 2 Glory,Dana Brown,5.7
Gary Owen: I Agree With Myself,Leslie Small,5.1
Leapfrog: Letter Factory Adventures - The Letter Machine Rescue Team,Craig George,5.9
"Making a Killing: Guns, Greed and the NRA",Robert Greenwald,4.1
Mutant Species,David A. Prior,3.5
The Clintons: An American Odyssey,Robert Kline,2.7
Boomtown,unknown,5.1
Pixi Saves Christmas,Gorka Sesma,4.2
Night of the Living Dead: Resurrection,James Plumb,2.5
Man-Eating Python,Mark Beech,4.7
Christmas with the Andersons,Michael Feifer,4.3
Alien Contact,Rico Lowry,5.902751
"New Year, New You",Jimmy Pope,5.902751
Christmas Crush,Marita Grabiak,5.902751
The Damned (2013),Víctor García,5.902751
Comrades & Cash: How Money Found Its Way Through the Iron Curtain,unknown,5.902751
Legend of Heroes: Trails in the Sky,Toshihiro Kondo,5.902751
The Avengers,Joss Whedon,8.0
It's a Wonderful Life,Frank Capra,8.6
Downfall,Oliver Hirschbiegel,8.2
Sunset Boulevard,Billy Wilder,8.4
Airplane!,Jim Abrahams,7.7
Airplane!,David Zucker,7.7
Airplane!,Jerry Zucker,7.7
Some Like It Hot,Billy Wilder,8.2
The Handmaiden,Chan-wook Park,8.1
Rosemary's Baby,Roman Polanski,8.0
Amores Perros,Alejandro G. Iñárritu,8.1
Lady Bird,Greta Gerwig,7.4
Roman Holiday,William Wyler,8.0
The Girl with the Dragon Tattoo,David Fincher,7.8
The Big Sick,Michael Showalter,7.5
Manchester by the Sea,Kenneth Lonergan,7.8
The Man from Nowhere,Jeong-beom Lee,7.8
Short Term 12,Destin Daniel Cretton,8.0
Thor,Kenneth Branagh,7.0
Captain America: The First Avenger,Joe Johnston,6.9
Night of the Living Dead,George A. Romero,7.9
The Machinist,Brad Anderson,7.7
The Conversation,Francis Ford Coppola,7.8
Dear Zachary: A Letter to a Son About His Father,Kurt Kuenne,8.6
Diabolique,Henri-Georges Clouzot,8.0
The Disaster Artist,James Franco,7.4
Iron Man 2,Jon Favreau,7.0
Pi,Darren Aronofsky,7.4
The Lighthouse,Robert Eggers,7.6
The Farewell,Lulu Wang,7.6
The Wailing,Hong-jin Na,7.5
A Trip to the Moon,Georges Méliès,8.2
The General,Clyde Bruckman,8.1
The General,Buster Keaton,8.1
Nosferatu,unknown,7.9
The Cabinet of Dr. Caligari,Robert Wiene,8.1
Charade,Stanley Donen,7.9
Apocalypto,Mel Gibson,7.8
Stop Making Sense,Jonathan Demme,8.6
Eighth Grade,Bo Burnham,7.4
Hereditary,Ari Aster,7.3
Temple Grandin,Mick Jackson,8.3
The Lincoln Lawyer,Brad Furman,7.3
His Girl Friday,Howard Hawks,7.9
"Aguirre, the Wrath of God",Werner Herzog,7.9
In the Heat of the Night,unknown,7.9
Stalag 17,Billy Wilder,8.0
Logan Lucky,Steven Soderbergh,7.0
The Act of Killing,Joshua Oppenheimer,8.2
The Act of Killing,Anonymous,8.2
The Act of Killing,Christine Cynn,8.2
Leave No Trace,Debra Granik,7.2
Harold and Maude,Hal Ashby,7.9
The Man Who Shot Liberty Valance,John Ford,8.1
Escape from New York,John Carpenter,7.2
Mississippi Burning,Alan Parker,7.8
Inside Llewyn Davis,Ethan Coen,7.5
Inside Llewyn Davis,Joel Coen,7.5
Paradise Lost: The Child Murders at Robin Hood Hills,Joe Berlinger,8.3
Paradise Lost: The Child Murders at Robin Hood Hills,Bruce Sinofsky,8.3
The African Queen,John Huston,7.7
Pride,Matthew Warchus,7.8
Chak De! India,Shimit Amin,8.2
Dead Man Walking,Tim Robbins,7.5
Grizzly Man,Werner Herzog,7.8
A Bittersweet Life,Jee-woon Kim,7.6
Tumbbad,Rahi Anil Barve,8.3
Tumbbad,Anand Gandhi,8.3
Tumbbad,Adesh Prasad,8.3
A Man Called Ove,Hannes Holm,7.7
The Imposter,Bart Layton,7.5
Capote,Bennett Miller,7.3
Midsommar,Ari Aster,7.1
Deep Red,Dario Argento,7.6
The Salesman,Asghar Farhadi,7.8
3-Iron,Ki-duk Kim,8.0
To Catch a Thief,Alfred Hitchcock,7.4
Queen,Vikas Bahl,8.2
Samsara,Ron Fricke,8.5
The Discreet Charm of the Bourgeoisie,Luis Buñuel,7.9
The Hours,Stephen Daldry,7.5
Seven Psychopaths,Martin McDonagh,7.2
For Sama,Waad Al-Kateab,8.5
For Sama,Edward Watts,8.5
Sweet Smell of Success,Alexander Mackendrick,8.1
Bridget Jones's Diary,Sharon Maguire,6.7
The Last Waltz,Martin Scorsese,8.2
Lars and the Real Girl,Craig Gillespie,7.3
The Look of Silence,Joshua Oppenheimer,8.3
Cold War,Pawel Pawlikowski,7.6
Bone Tomahawk,S. Craig Zahler,7.1
Honey Boy,Alma Har'el,7.3
Veer-Zaara,Yash Chopra,7.8
The Virgin Suicides,Sofia Coppola,7.2
Paterson,Jim Jarmusch,7.4
Fiddler on the Roof,Norman Jewison,8.0
The Return of the Living Dead,Dan O'Bannon,7.3
The Long Goodbye,Robert Altman,7.6
Black Book,Paul Verhoeven,7.7
Legends of the Fall,Edward Zwick,7.6
Clue,Jonathan Lynn,7.3
mid90s,Jonah Hill,7.4
My Name Is Nobody,Tonino Valerii,7.5
Raazi,Meghna Gulzar,7.8
Highlander,Russell Mulcahy,7.1
The Italian Job,F. Gary Gray,7.3
I Am Not Your Negro,Raoul Peck,7.8
The Ghost Writer,Roman Polanski,7.2
The Birdcage,Mike Nichols,7.1
Three Days of the Condor,unknown,7.4
My Man Godfrey,Gregory La Cava,8.0
Murder on the Orient Express,Kenneth Branagh,7.3
Indie Game: The Movie,Lisanne Pajot,7.6
Indie Game: The Movie,James Swirsky,7.6
The Boondock Saints,Troy Duffy,7.8
Miss Sloane,John Madden,7.5
Ernest & Celestine,Stéphane Aubier,7.9
Ernest & Celestine,Vincent Patar,7.9
Ernest & Celestine,Benjamin Renner,7.9
You Were Never Really Here,Lynne Ramsay,6.8
Moonstruck,Norman Jewison,7.1
An Honest Liar,Tyler Measom,7.5
An Honest Liar,Justin Weinstein,7.5
Sholay,Ramesh Sippy,8.2
The Proposition,Elizabeth Banks,7.4
The Proposition,Steven Brill,7.4
The Proposition,Steve Carr,7.4
The Proposition,Rusty Cundieff,7.4
The Proposition,James Duffy,7.4
The Proposition,Griffin Dunne,7.4
The Proposition,Peter Farrelly,7.4
The Proposition,Patrik Forsberg,7.4
The Proposition,Will Graham,7.4
The Proposition,James Gunn,7.4
The Proposition,Brett Ratner,7.4
The Proposition,Jonathan van Tulleken,7.4
The Proposition,Bob Odenkirk,7.4
Fist of Fury,Wei Lo,7.4
Fitzcarraldo,Werner Herzog,8.1
The Big Country,William Wyler,7.9
You Can Count on Me,Kenneth Lonergan,7.5
Brawl in Cell Block 99,S. Craig Zahler,7.1
Arctic,Joe Penna,6.8
Paradise Lost 3: Purgatory,Joe Berlinger,8.1
Paradise Lost 3: Purgatory,Bruce Sinofsky,8.1
Midnight Special,Jeff Nichols,6.6
King of Devil's Island,Marius Holst,7.5
Scarlet Street,Fritz Lang,7.8
First Reformed,Paul Schrader,7.1
Meru,Jimmy Chin,7.7
Meru,Elizabeth Chai Vasarhelyi,7.7
The Report,Scott Z. Burns,7.2
The Sweet Hereafter,Atom Egoyan,7.5
Dead Ringers,David Cronenberg,7.3
Triangle,Christopher Smith,6.9
Gallipoli,Peter Weir,7.4
Terms of Endearment,James L. Brooks,7.4
"Steamboat Bill, Jr.",Charles Reisner,7.9
"Steamboat Bill, Jr.",Buster Keaton,7.9
Thunder Road,Jim Cummings,7.1
Pretty in Pink,Howard Deutch,6.8
The Kings of Summer,Jordan Vogt-Roberts,7.1
You Don't Know Jack,Barry Levinson,7.6
if....,Lindsay Anderson,7.5
Beautiful Boy,Felix van Groeningen,7.3
Hard Eight,Paul Thomas Anderson,7.2
Ginger Snaps,John Fawcett,6.8
Robot & Frank,Jake Schreier,7.1
Particle Fever,Mark Levinson,7.4
Salyut-7,Klim Shipenko,7.2
The Last Black Man in San Francisco,Joe Talbot,7.3
Adam's Apples,Anders Thomas Jensen,7.8
Gia,Michael Cristofer,7.0
And the Band Played On,Roger Spottiswoode,7.8
Sophie Scholl: The Final Days,Marc Rothemund,7.6
Hellraiser,Clive Barker,7.0
The Court Jester,Melvin Frank,7.9
The Court Jester,Norman Panama,7.9
Air Force One,Wolfgang Petersen,6.5
Get the Gringo,Adrian Grunberg,7.0
Eat Drink Man Woman,Ang Lee,7.8
Big Night,Campbell Scott,7.3
Big Night,Stanley Tucci,7.3
K.G.F: Chapter 1,Prashanth Neel,8.2
Mahanati,Nag Ashwin,8.5
Reds,Warren Beatty,7.3
Bernie,Richard Linklater,6.8
Ink,Jamin Winans,6.9
Dog Soldiers,Neil Marshall,6.8
The Aeronauts,Tom Harper,6.6
The Lost City of Z,James Gray,6.6
Rab Ne Bana Di Jodi,Aditya Chopra,7.2
Soldier's Girl,Frank Pierson,7.9
The Endless Summer,Bruce Brown,7.7
Laurence Anyways,Xavier Dolan,7.7
A Street Cat Named Bob,Roger Spottiswoode,7.3
Holiday Inn,Mark Sandrich,7.4
Holiday Inn,Robert Allen,7.4
The Snowman,Tomas Alfredson,8.2
A Bridge Too Far,Richard Attenborough,7.4
Funny Face,Stanley Donen,7.0
Murderball,Henry Alex Rubin,7.7
Murderball,Dana Adam Shapiro,7.7
Wake in Fright,Ted Kotcheff,7.7
A Most Wanted Man,Anton Corbijn,6.8
The Girl Who Played with Fire,Daniel Alfredson,7.2
Frantz,François Ozon,7.5
Thappad,Anubhav Sinha,7.2
Runaway Train,Tony Scott,7.2
Invisible Life,Karim Aïnouz,7.9
House of Sand and Fog,Vadim Perelman,7.5
Behind the Candelabra,Steven Soderbergh,7.0
Angst,Gerald Kargl,7.3
Fanaa,Kunal Kohli,7.2
Intolerance: Love's Struggle Throughout the Ages,D.W. Griffith,7.8
Brittany Runs a Marathon,Paul Downs Colaizzo,6.8
Bill Cunningham New York,Richard Press,7.9
What Maisie Knew,Scott McGehee,7.4
What Maisie Knew,David Siegel,7.4
Citizen X,Chris Gerolmo,7.5
Kirikou and the Sorceress,Michel Ocelot,7.5
Kirikou and the Sorceress,Raymond Burlet,7.5
Some Kind of Wonderful,Howard Deutch,7.1
The Phantom of the Opera,Joel Schumacher,7.6
Masquerade,Bob Swaim,7.8
Sultan,Ali Abbas Zafar,7.0
Heidi,Alain Gsponer,7.4
Better Watch Out,Chris Peckover,6.5
The Letter,David Greenwalt,7.6
What If,Michael Dowse,6.8
Truman,Cesc Gay,7.3
20.000 Days on Earth,Iain Forsyth,7.5
20.000 Days on Earth,Jane Pollard,7.5
Marshall,Reginald Hudlin,7.2
Flickering Lights,Anders Thomas Jensen,7.7
McQueen,Ian Bonhôte,7.8
McQueen,Peter Ettedgui,7.8
The Band's Visit,Eran Kolirin,7.5
One Day in September,Kevin Macdonald,7.8
The Doors,Oliver Stone,7.2
Turbo Kid,François Simard,6.7
Turbo Kid,Anouk Whissell,6.7
Turbo Kid,Yoann-Karl Whissell,6.7
One Child Nation,Nanfu Wang,7.5
One Child Nation,Jialing Zhang,7.5
4 Moons,Sergio Tovar Velarde,7.5
A Prayer Before Dawn,Jean-Stéphane Sauvaire,6.9
The Pink Panther Strikes Again,Blake Edwards,7.2
Disobedience,Sebastián Lelio,6.6
Transsiberian,Brad Anderson,6.7
Climax,Gaspar Noé,7.1
The Spy Who Came in from the Cold,Martin Ritt,7.6
House of Games,David Mamet,7.3
Gleason,Clay Tweel,8.4
The Central Park Five,Ken Burns,7.7
The Central Park Five,Sarah Burns,7.7
The Central Park Five,David McMahon,7.7
