Title,Directors,IMDb
The Princess and the Frog,John Musker,7.1
Bad Genius,Nattawut Poonpiriya,7.6
The Wicker Man,Robin Hardy,7.5
A Single Man,Tom Ford,7.6
Blow,Ted Demme,7.6
The Squid and the Whale,Noah Baumbach,7.3
My Life as a Zucchini,Claude Barras,7.8
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Chris Smith,7.7
Barfi!,Anurag Basu,8.1
Frances Ha,Noah Baumbach,7.5
Tootsie,Sydney Pollack,7.4
Solo: A Star Wars Story,Ron Howard,6.9
Steve Jobs,Danny Boyle,7.2
Tremors,Ron Underwood,7.1
The Croods,Kirk DeMicco,7.2
The Croods,Chris Sanders,7.2
Locke,Steven Knight,7.1
Bill Burr: I'm Sorry You Feel That Way,Jay Karas,8.4
Starred Up,David Mackenzie,7.4
Mudbound,Dee Rees,7.4
Austin Powers: International Man of Mystery,Jay Roach,7.0
Blue Ruin,Jeremy Saulnier,7.1
The Patriot,Roland Emmerich,7.2
Babel,Alejandro G. Iñárritu,7.4
The Square,Ruben Östlund,8.1
Gerald's Game,Mike Flanagan,6.6
Miracle,Gavin O'Connor,7.5
Swades,Ashutosh Gowariker,8.2
Tinker Tailor Soldier Spy,Tomas Alfredson,7.1
The Witch,Robert Eggers,6.9
Haider,Vishal Bhardwaj,8.1
Padman,R. Balki,7.9
Hush,Mike Flanagan,6.6
Elizabeth,Shekhar Kapur,7.4
Miss Americana,Lana Wilson,7.4
Christopher Robin,Marc Forster,7.3
I Lost My Body,Jérémy Clapin,7.6
I Am Mother,Grant Sputore,6.7
Lupin the Third: The Castle of Cagliostro,Hayao Miyazaki,7.7
The Autopsy of Jane Doe,André Øvredal,6.8
Virunga,Orlando von Einsiedel,8.2
Freedom Writers,Richard LaGravenese,7.5
The Master,Paul Thomas Anderson,7.2
A Serious Man,Ethan Coen,7.0
A Serious Man,Joel Coen,7.0
The King,David Michôd,7.2
The Breadwinner,Nora Twomey,7.7
The Boy Who Harnessed the Wind,Chiwetel Ejiofor,7.6
Article 15,Anubhav Sinha,8.3
The Killing of a Sacred Deer,Yorgos Lanthimos,7.0
Lawless,John Hillcoat,7.3
Kabhi Khushi Kabhie Gham,Karan Johar,7.4
Charlie and the Chocolate Factory,Tim Burton,6.6
Freaks,Zach Lipovsky,6.7
Freaks,Adam B. Stein,6.7
Hannah Gadsby: Nanette,Jon Olb,8.2
Hannah Gadsby: Nanette,Madeleine Parry,8.2
The Mask of Zorro,Martin Campbell,6.7
The Natural,Barry Levinson,7.5
Equilibrium,Kurt Wimmer,7.4
Arthur Christmas,Sarah Smith,7.1
Arthur Christmas,Barry Cook,7.1
The Rainmaker,Francis Ford Coppola,7.2
Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky,8.4
Always Be My Maybe,Nahnatchka Khan,6.8
The Crying Game,Neil Jordan,7.2
War Horse,Steven Spielberg,7.2
Shot Caller,Ric Roman Waugh,7.3
The Invitation,Karyn Kusama,6.6
A Most Violent Year,J.C. Chandor,7.0
The Other Guys,Adam McKay,6.6
Kapoor & Sons,Shakun Batra,7.7
On Body and Soul,Ildikó Enyedi,7.6
