Title,Language,IMDb
GoldenEye,English,7.2
GoldenEye,Russian,7.2
GoldenEye,Spanish,7.2
The Boy in the Striped Pyjamas,English,7.8
The Boy in the Striped Pyjamas,Spanish,7.8
Amy,English,7.8
Ralph Breaks the Internet,English,7.1
Good Time,English,7.4
Ip Man 2,Cantonese,7.5
Ip Man 2,Mandarin,7.5
Ip Man 2,English,7.5
The Little Prince,English,7.7
The Spectacular Now,English,7.1
Baahubali 2: The Conclusion,Telugu,8.2
Baahubali 2: The Conclusion,Tamil,8.2
Black Mirror: Bandersnatch,English,7.2
PK,Hindi,8.1
PK,English,8.1
PK,Urdu,8.1
PK,Persian,8.1
PK,Kurdish,8.1
Extraction,English,6.8
Extraction,Hindi,6.8
Extraction,Bengali,6.8
The Lobster,English,7.2
The Lobster,French,7.2
The Lobster,Greek,7.2
Blue Valentine,English,7.4
Zindagi Na Milegi Dobara,Hindi,8.1
Zindagi Na Milegi Dobara,Japanese,8.1
Zindagi Na Milegi Dobara,Spanish,8.1
Zindagi Na Milegi Dobara,English,8.1
Green Room,English,7.0
Kung Fu Panda 2,English,7.2
The Ballad of Buster Scruggs,English,7.3
The Ballad of Buster Scruggs,French,7.3
Cloverfield,English,7.0
Cloverfield,Russian,7.0
Burning,Korean,7.5
Burning,English,7.5
The Adventures of Tintin,English,7.3
Bolt,English,6.8
Neon Genesis Evangelion: The End of Evangelion,Japanese,8.1
Chasing Amy,English,7.2
The Princess and the Frog,English,7.1
The Princess and the Frog,French,7.1
Bad Genius,Thai,7.6
Bad Genius,English,7.6
The Wicker Man,English,7.5
A Single Man,English,7.6
A Single Man,Spanish,7.6
Blow,English,7.6
The Squid and the Whale,English,7.3
My Life as a Zucchini,French,7.8
My Life as a Zucchini,English,7.8
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",East-Greenlandic,7.7
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",English,7.7
Barfi!,Hindi,8.1
Frances Ha,French,7.5
Frances Ha,English,7.5
Tootsie,English,7.4
Solo: A Star Wars Story,English,6.9
Steve Jobs,English,7.2
Tremors,English,7.1
The Croods,English,7.2
Locke,English,7.1
Bill Burr: I'm Sorry You Feel That Way,English,8.4
Starred Up,English,7.4
Mudbound,English,7.4
Austin Powers: International Man of Mystery,English,7.0
Blue Ruin,English,7.1
The Patriot,English,7.2
The Patriot,French,7.2
Babel,English,7.4
Babel,Arabic,7.4
Babel,Spanish,7.4
Babel,Japanese,7.4
Babel,Berber languages,7.4
Babel,French,7.4
Babel,Russian,7.4
Babel,Japanese Sign Language,7.4
The Square,Swedish,8.1
The Square,English,8.1
The Square,Danish,8.1
Gerald's Game,English,6.6
Miracle,English,7.5
Swades,Hindi,8.2
Swades,English,8.2
Tinker Tailor Soldier Spy,English,7.1
Tinker Tailor Soldier Spy,Russian,7.1
Tinker Tailor Soldier Spy,Hungarian,7.1
Tinker Tailor Soldier Spy,French,7.1
Tinker Tailor Soldier Spy,Turkish,7.1
The Witch,English,6.9
Haider,Hindi,8.1
Padman,Hindi,7.9
Hush,English,6.6
Hush,American Sign Language,6.6
Elizabeth,English,7.4
Elizabeth,French,7.4
Miss Americana,English,7.4
Christopher Robin,English,7.3
I Lost My Body,French,7.6
I Am Mother,English,6.7
Lupin the Third: The Castle of Cagliostro,Japanese,7.7
Lupin the Third: The Castle of Cagliostro,English,7.7
Lupin the Third: The Castle of Cagliostro,French,7.7
The Autopsy of Jane Doe,English,6.8
Virunga,English,8.2
Virunga,French,8.2
Virunga,Swahili,8.2
Freedom Writers,English,7.5
Freedom Writers,Spanish,7.5
The Master,Filipino,7.2
The Master,English,7.2
A Serious Man,English,7.0
A Serious Man,Yiddish,7.0
